"symbol","date","openTime","open","high","low","close","volume"
,"16 02 2018","00:00:00","0.09234700","0.09245400","0.09162700","0.09173000","7566.22600000"
,"16 02 2018","01:00:00","0.09170000","0.09200000","0.09134000","0.09156500","8926.61400000"
,"16 02 2018","02:00:00","0.09156500","0.09288000","0.09154600","0.09267500","6361.70500000"
,"16 02 2018","03:00:00","0.09267200","0.09272400","0.09212700","0.09249600","5530.44100000"
,"16 02 2018","04:00:00","0.09246000","0.09273000","0.09217900","0.09249900","5003.97800000"
,"16 02 2018","05:00:00","0.09250000","0.09259400","0.09220700","0.09246100","4223.16600000"
,"16 02 2018","06:00:00","0.09246100","0.09290000","0.09225100","0.09273200","4770.54800000"
,"16 02 2018","07:00:00","0.09273200","0.09328100","0.09270100","0.09314800","5143.92100000"
,"16 02 2018","08:00:00","0.09310800","0.09349900","0.09300500","0.09306300","4754.75600000"
,"16 02 2018","09:00:00","0.09309100","0.09343300","0.09301400","0.09335900","3696.64200000"
,"16 02 2018","10:00:00","0.09336100","0.09419400","0.09336100","0.09400300","4197.99800000"
,"16 02 2018","11:00:00","0.09403800","0.09450000","0.09385600","0.09416800","4940.08900000"
,"16 02 2018","12:00:00","0.09416800","0.09430000","0.09383000","0.09387800","4451.02900000"
,"16 02 2018","13:00:00","0.09388000","0.09400000","0.09343500","0.09391400","4709.83200000"
,"16 02 2018","14:00:00","0.09394400","0.09396600","0.09239600","0.09279000","6100.72800000"
,"16 02 2018","15:00:00","0.09280700","0.09300000","0.09200000","0.09291800","6533.27500000"
,"16 02 2018","16:00:00","0.09291900","0.09310100","0.09250200","0.09272000","5817.28200000"
,"16 02 2018","17:00:00","0.09272000","0.09320000","0.09266900","0.09306900","4449.55100000"
,"16 02 2018","18:00:00","0.09309500","0.09393300","0.09302600","0.09374000","4985.91700000"
,"16 02 2018","19:00:00","0.09371000","0.09375000","0.09315000","0.09320200","4196.97000000"
,"16 02 2018","20:00:00","0.09320200","0.09365000","0.09311000","0.09358600","4504.03200000"
,"16 02 2018","21:00:00","0.09358500","0.09360000","0.09294900","0.09305600","4984.71300000"
,"16 02 2018","22:00:00","0.09305500","0.09339300","0.09250000","0.09259300","5480.60000000"
,"16 02 2018","23:00:00","0.09259500","0.09298900","0.09224200","0.09236000","4769.45300000"
,"17 02 2018","00:00:00","0.09239200","0.09302000","0.09226800","0.09257300","5059.79800000"
