"symbol","TS","time","open","high","low","close","volume"
"ETHUSD",1487635200000,"02/21/2017 00:00:00",12.42,12.89,12.25,12.817,57912.48373169
"ETHUSD",1487721600000,"02/22/2017 00:00:00",12.818,12.846,12.601,12.679,15151.27724273
"ETHUSD",1487808000000,"02/23/2017 00:00:00",12.682,13.367,12.601,13.269,66006.56206803
"ETHUSD",1487894400000,"02/24/2017 00:00:00",13.2,13.311,12.7,13.113,54672.25082344
"ETHUSD",1487980800000,"02/25/2017 00:00:00",13.067,13.8,13.05,13.554,88521.8124738
"ETHUSD",1488067200000,"02/26/2017 00:00:00",13.51,14.66,13.3,14.568,94047.91977104
"ETHUSD",1488153600000,"02/27/2017 00:00:00",14.567,15.75,14.301,15.5,148333.37236341
"ETHUSD",1488240000000,"02/28/2017 00:00:00",15.5,16.225,15.177,15.862,219881.19189743
"ETHUSD",1488326400000,"03/01/2017 00:00:00",15.83,17.489,15.62,17.435,118175.55623945
"ETHUSD",1488412800000,"03/02/2017 00:00:00",17.477,19.45,16.299,19.021,308086.56076955
"ETHUSD",1488499200000,"03/03/2017 00:00:00",19.028,20.733,18.426,19.493,348719.1685092
"ETHUSD",1488585600000,"03/04/2017 00:00:00",19.55,20.001,18.4,18.5,112795.18425001
"ETHUSD",1488672000000,"03/05/2017 00:00:00",18.501,19.453,18.148,19.339,76734.38991427
"ETHUSD",1488758400000,"03/06/2017 00:00:00",19.292,20.23,19.14,19.51,113375.61189072
"ETHUSD",1488844800000,"03/07/2017 00:00:00",19.568,19.666,18.5,18.879,88305.50928
"ETHUSD",1488931200000,"03/08/2017 00:00:00",18.8,18.861,16.511,16.511,225181.35475952
"ETHUSD",1489017600000,"03/09/2017 00:00:00",16.544,18,16.25,17.752,97289.34197207
"ETHUSD",1489104000000,"03/10/2017 00:00:00",17.672,19.7,16.5,19.175,367687.50255038
"ETHUSD",1489190400000,"03/11/2017 00:00:00",19.175,21.467,18.83,21.3,232837.75369294
"ETHUSD",1489276800000,"03/12/2017 00:00:00",21.3,23.232,21.054,23.198,260265.83583019
"ETHUSD",1489363200000,"03/13/2017 00:00:00",23.24,30.6,23.222,28.397,753317.6160319
"ETHUSD",1489449600000,"03/14/2017 00:00:00",28.392,29.932,27.001,28.66,240580.78044642
"ETHUSD",1489536000000,"03/15/2017 00:00:00",28.66,34.796,28.36,34.796,450796.04818765
"ETHUSD",1489622400000,"03/16/2017 00:00:00",34.796,46.21,34.795,45.071,877542.87818995
"ETHUSD",1489708800000,"03/17/2017 00:00:00",45.071,51.879,32.836,44.65,971984.20464016
"ETHUSD",1489795200000,"03/18/2017 00:00:00",44.65,44.994,31.1,34.2,606299.76329422
"ETHUSD",1489881600000,"03/19/2017 00:00:00",34.2,45.69,34.099,43.168,483615.52880302
"ETHUSD",1489968000000,"03/20/2017 00:00:00",43.169,45.125,39.472,42.064,252605.74033814
"ETHUSD",1490054400000,"03/21/2017 00:00:00",41.874,43.7,41.15,42.45,132275.83234106
"ETHUSD",1490140800000,"03/22/2017 00:00:00",42.452,42.948,38.51,41.459,139580.42806811
"ETHUSD",1490227200000,"03/23/2017 00:00:00",41.459,44.749,40.216,43.136,150163.9015234
"ETHUSD",1490313600000,"03/24/2017 00:00:00",43.136,58.989,42.501,54.01,470356.75764804
"ETHUSD",1490400000000,"03/25/2017 00:00:00",54.02,54.9,47.455,50.751,327872.92393636
"ETHUSD",1490486400000,"03/26/2017 00:00:00",51.27,51.8,46.55,50.415,132033.58235729
"ETHUSD",1490572800000,"03/27/2017 01:00:00",50.5,52.01,47.666,48.927,111437.53957556
"ETHUSD",1490659200000,"03/28/2017 01:00:00",48.913,50.599,47.95,50.156,129792.93327897
"ETHUSD",1490745600000,"03/29/2017 01:00:00",50.164,54.3,49.397,52.877,195871.03467677
"ETHUSD",1490832000000,"03/30/2017 01:00:00",52.879,53.283,50.751,51.624,106880.86154652
"ETHUSD",1490918400000,"03/31/2017 01:00:00",51.676,51.826,46.82,49.724,224652.98606263
"ETHUSD",1491004800000,"04/01/2017 01:00:00",49.777,51.87,48.7,50.592,110509.67626083
"ETHUSD",1491091200000,"04/02/2017 01:00:00",50.6,51.594,47.7,48.6,224544.52921262
"ETHUSD",1491177600000,"04/03/2017 01:00:00",48.6,48.6,42.77,44.281,334706.87362561
"ETHUSD",1491264000000,"04/04/2017 01:00:00",44.27,45.688,41.05,44.414,219331.81777879
"ETHUSD",1491350400000,"04/05/2017 01:00:00",44.513,47.529,44.194,45.35,161470.19938049
"ETHUSD",1491436800000,"04/06/2017 01:00:00",45.35,46.025,41.25,43.11,186090.45316464
"ETHUSD",1491523200000,"04/07/2017 01:00:00",43.297,44.527,41.779,42.25,79329.28121187
"ETHUSD",1491609600000,"04/08/2017 01:00:00",42.362,45.76,42.362,44.507,104018.88565233
"ETHUSD",1491696000000,"04/09/2017 01:00:00",44.714,44.864,43.18,43.937,50830.05123428
"ETHUSD",1491782400000,"04/10/2017 01:00:00",44.029,44.761,43.011,44.169,62445.85692682
"ETHUSD",1491868800000,"04/11/2017 01:00:00",44.17,44.8,43.804,44.206,32400.03213109
"ETHUSD",1491955200000,"04/12/2017 01:00:00",44.2,48.467,43.84,46.852,153779.63545993
"ETHUSD",1492041600000,"04/13/2017 01:00:00",46.96,51.505,46.85,50.649,148980.9664756
"ETHUSD",1492128000000,"04/14/2017 01:00:00",50.53,50.65,47.341,48.5,112755.19796189
"ETHUSD",1492214400000,"04/15/2017 01:00:00",48.5,50.477,47.95,49.707,94941.60245558
"ETHUSD",1492300800000,"04/16/2017 01:00:00",49.602,49.9,48.865,49.58,18295.81336589
"ETHUSD",1492387200000,"04/17/2017 01:00:00",49.581,50.27,48.88,49.52,48799.37204114
"ETHUSD",1492473600000,"04/18/2017 01:00:00",49.578,53,49.069,52.424,183893.02031638
"ETHUSD",1492560000000,"04/19/2017 01:00:00",52.44,53,45,49.661,132104.79219742
"ETHUSD",1492646400000,"04/20/2017 01:00:00",49.661,52.45,48.603,51.96,99344.7661218
"ETHUSD",1492732800000,"04/21/2017 01:00:00",51.979,52.265,51.1,51.369,44755.57965308
"ETHUSD",1492819200000,"04/22/2017 01:00:00",51.171,52.776,51.03,52.151,35811.56839479
"ETHUSD",1492905600000,"04/23/2017 01:00:00",52.372,54.438,51.75,53.332,53388.55875934
"ETHUSD",1492992000000,"04/24/2017 01:00:00",53.331,54.477,53,53.54,58160.64046617
"ETHUSD",1493078400000,"04/25/2017 01:00:00",53.781,54.21,53.253,53.9,27839.56383345
"ETHUSD",1493164800000,"04/26/2017 01:00:00",53.9,58.38,53.664,57.31,151625.50976241
"ETHUSD",1493251200000,"04/27/2017 01:00:00",57.445,67.999,56.919,67.999,150564.09849841
"ETHUSD",1493337600000,"04/28/2017 01:00:00",68,77.399,66,75.997,274403.10067296
"ETHUSD",1493424000000,"04/29/2017 01:00:00",75.99,77.599,71.2,73.55,135672.00077254
"ETHUSD",1493510400000,"04/30/2017 01:00:00",73.411,83.999,72.601,83.512,141827.01089032
"ETHUSD",1493596800000,"05/01/2017 01:00:00",83.518,88.103,66.001,81.399,361723.97765769
"ETHUSD",1493683200000,"05/02/2017 01:00:00",81.489,85.18,79.485,82.011,103869.18389645
"ETHUSD",1493769600000,"05/03/2017 01:00:00",82.476,86.615,81,85.8,102682.1791565
"ETHUSD",1493856000000,"05/04/2017 01:00:00",86.099,99.777,84.61,99.2,234920.59312239
"ETHUSD",1493942400000,"05/05/2017 01:00:00",99.358,101.7,88.201,91.5,205650.10831953
"ETHUSD",1494028800000,"05/06/2017 01:00:00",91.5,96.838,90.534,96.648,69679.42993517
"ETHUSD",1494115200000,"05/07/2017 01:00:00",96.792,98,90.888,94.213,62649.43330351
"ETHUSD",1494201600000,"05/08/2017 01:00:00",94.884,95.48,88.112,88.974,99857.04501419
"ETHUSD",1494288000000,"05/09/2017 01:00:00",88.933,91.099,77.76,88.94,201173.11661821
"ETHUSD",1494374400000,"05/10/2017 01:00:00",88.9,92.455,86.6,88.33,55866.56490059
"ETHUSD",1494460800000,"05/11/2017 01:00:00",88.33,91.5,87.35,89.375,60136.67449575
"ETHUSD",1494547200000,"05/12/2017 01:00:00",89.072,92,83.853,86.985,80927.949819
"ETHUSD",1494633600000,"05/13/2017 01:00:00",86.924,89.99,84.5,89.9,30295.93557918
"ETHUSD",1494720000000,"05/14/2017 01:00:00",89.9,91.919,88.111,90.37,49487.7493733
"ETHUSD",1494806400000,"05/15/2017 01:00:00",90.37,95.17,90.369,92.553,115358.52404973
"ETHUSD",1494892800000,"05/16/2017 01:00:00",92.309,93.482,85.429,88.17,53210.18213037
"ETHUSD",1494979200000,"05/17/2017 01:00:00",88.17,90.926,83.77,89.671,49983.39050015
"ETHUSD",1495065600000,"05/18/2017 01:00:00",89.423,98.888,89.423,98.6,125047.47548249
"ETHUSD",1495152000000,"05/19/2017 01:00:00",98.55,129.25,98.312,124.4,257956.46293859
"ETHUSD",1495238400000,"05/20/2017 01:00:00",124.49,128.95,119.54,123.03,122882.37142703
"ETHUSD",1495324800000,"05/21/2017 01:00:00",123.49,146.4,122.32,146.14,220188.214882
"ETHUSD",1495411200000,"05/22/2017 01:00:00",146.14,190,136.8,154.92,473707.45439875
"ETHUSD",1495497600000,"05/23/2017 01:00:00",155.16,174.3,148.6,168.24,144988.85858293
"ETHUSD",1495584000000,"05/24/2017 01:00:00",168.25,197.41,166.33,183.88,184596.67790197
"ETHUSD",1495670400000,"05/25/2017 01:00:00",183.88,206.06,155,168.71,246730.47667163
"ETHUSD",1495756800000,"05/26/2017 01:00:00",168.73,187,143.64,152.8,186150.53617891
"ETHUSD",1495843200000,"05/27/2017 01:00:00",153.5,161,110.42,149.99,362276.00866486
"ETHUSD",1495929600000,"05/28/2017 01:00:00",150.35,172.79,149.66,161.91,184110.48370831
"ETHUSD",1496016000000,"05/29/2017 01:00:00",161.48,191.3,155.01,189.84,135112.8216434
"ETHUSD",1496102400000,"05/30/2017 01:00:00",188.1,229.98,182,224.69,216873.20041801
"ETHUSD",1496188800000,"05/31/2017 01:00:00",224.78,230.55,200.9,218.34,167110.36987516
"ETHUSD",1496275200000,"06/01/2017 01:00:00",218.41,227.32,196,211.4,129862.41848086
"ETHUSD",1496361600000,"06/02/2017 01:00:00",211.4,219.21,208.23,214.77,43618.18025543
"ETHUSD",1496448000000,"06/03/2017 01:00:00",214.6,217.99,210.01,217.01,27501.56424164
"ETHUSD",1496534400000,"06/04/2017 01:00:00",217.01,245.98,216.1,241.06,107681.05009902
"ETHUSD",1496620800000,"06/05/2017 01:00:00",241.06,244.29,231.72,242.16,57896.68799269
"ETHUSD",1496707200000,"06/06/2017 01:00:00",242.1,264.99,238.23,261.89,117903.10878269
"ETHUSD",1496793600000,"06/07/2017 01:00:00",261.89,263.7,241.01,250.7,72507.03116828
"ETHUSD",1496880000000,"06/08/2017 01:00:00",250.99,258.93,242.04,256.95,42085.69599441
"ETHUSD",1496966400000,"06/09/2017 01:00:00",257.02,279.9,257.02,278.41,77593.33255438
"ETHUSD",1497052800000,"06/10/2017 01:00:00",278.82,341.94,278.26,325.88,161701.40632065
"ETHUSD",1497139200000,"06/11/2017 01:00:00",325.88,347,310,336.33,144038.48721617
"ETHUSD",1497225600000,"06/12/2017 01:00:00",336.24,412.21,297,386.9,336200.18932482
"ETHUSD",1497312000000,"06/13/2017 01:00:00",386.9,395,345.61,382.7,126883.86545789
"ETHUSD",1497398400000,"06/14/2017 01:00:00",382.7,385.73,315,335.95,170271.29197536
"ETHUSD",1497484800000,"06/15/2017 01:00:00",336.91,344,265,338.7,328747.81887771
"ETHUSD",1497571200000,"06/16/2017 01:00:00",338.99,355.51,305.22,348.44,99691.4564935
"ETHUSD",1497657600000,"06/17/2017 01:00:00",349,366.08,332,364.56,62825.97532629
"ETHUSD",1497744000000,"06/18/2017 01:00:00",364.57,377.46,336.89,348.88,81001.72516059
"ETHUSD",1497830400000,"06/19/2017 01:00:00",348.83,362.5,344.13,355.5,49864.69778141
"ETHUSD",1497916800000,"06/20/2017 01:00:00",355.5,366.52,328,344.15,98296.66168771
"ETHUSD",1497916800000,"06/20/2017 01:00:00",355.5,366.52,328,344.15,98296.66168771
"ETHUSD",1498003200000,"06/21/2017 01:00:00",344.15,348.5,287.11,321.66,184041.25456147
"ETHUSD",1498089600000,"06/22/2017 01:00:00",320.03,328.99,305,320.94,102281.01823687
"ETHUSD",1498176000000,"06/23/2017 01:00:00",320.49,329.9,316.36,324.37,30250.11565601
"ETHUSD",1498262400000,"06/24/2017 01:00:00",324.52,327.55,291.53,296.89,56168.31316232
"ETHUSD",1498348800000,"06/25/2017 01:00:00",296.83,306.39,253.2,277,145469.04895478
